1992-12-18 木づちだクイズだ源さんだ!(アイレム, 2M) 3800円
1992-12-18 クイズ日本昔話 アテナのハテナ?(アテナ, 2M) 3980円
1992-12-18 地球解放軍ジアース(T&E SOFT, 1M) 3500円
1992-12-18 ドクターフランケン(KEMCO, 1M) 3900円
1992-12-18 トムとジェリー(アルトロン, 1M) 4500円
1992-12-18 美少女戦士セーラームーン(エンジェル, 1M) 3500円
1992-12-18 ひとりでできるもん! 〜クッキング伝説〜(バップ, 1M) 3900円
1992-12-18 ミッキーズ・チェイス(KEMCO, 1M) 3800円
1992-12-19 ドラえもん2 アニマル惑星伝説(エポック社, 1M) 3900円
1992-12-22 4 IN 1 ファンパック(イマジニア, 1M) 3800円
1992-12-22 ルーニー・テューンズ バッグスバニーとゆかいな仲間たち(サンソフト, 2M) 3600円
1992-12-25 ゼノン2 メガブラスト(PCMコンプリート, 1M) 3864円
1992-12-25 バトルスペース バーコードボーイ同梱(ナムコ, 512K) 8300円
1992-12-25 女神転生外伝 ラストバイブル(アトラス, 2M) 5300円
1992-12-26 ウィザードリィ外伝II 古代皇帝の呪い(アスキー, 2M) 4635円
1992-12-27 Jリーグ ファイティングサッカー(IGS, 1M) 4800円
1992-12-27 ヘラクレスの栄光 -動き出した神々-(DECO, 2M) 4800円
1993-01-03 悪魔城すぺしゃる ぼくドラキュラくん(コナミ, 2M) 3800円
1993-01-08 ダーティ・レーシング(ジャレコ, 1M) 3900円
1993-01-29 新日本プロレスリング 闘魂三銃士(バリエ, 1M) 3980円
1993-01-29 リングレイジ(タイトー, 1M) 3900円
1993-02-12 サンダーバード(ビーアイ, 1M) 3980円
1993-02-19 ザードの伝説2 偽神の領域(ビック東海, 4M) 4900円
1993-02-26 ONI III 黒の破壊神(バンプレスト, 2M) 4980円
1993-02-26 高橋名人の冒険島III(ハドソン, 2M) 3800円
1993-02-26 バートのサバイバルキャンプ(アクレイムジャパン, 1M) 3980円
1993-02-26 バーニング・ペーパー(ジー・アミューズメンツ, 1M) 3200円
1993-03-12 CULT MASTER ウルトラマンに魅せられて(バンダイ, 2M) 3800円
1993-03-19 キラートマト(アルトロン, 1M) 4500円
1993-03-19 ザ・キックボクシング(マイクロワールド, 2M) 4200円
1993-03-19 サンリオカーニバル2(キャラクターソフト, 512K) 3296円
1993-03-19 GBバスケットボール(イマジニア, 1M) 3900円
1993-03-19 ダブル役満(バップ, 1M) 4500円
1993-03-19 モンスターメーカー2 ウルの秘剣(ソフエル, 2M) 4980円
1993-03-26 アウトバースト(コナミ, 2M) 4000円
1993-03-26 GIキング! 三匹の予想屋(ビック東海, 512K) 5900円
1993-03-26 ミロンの迷宮組曲(ハドソン, 1M) 3800円
1993-04-09 クレヨンしんちゃん “オラとシロはお友達だよ”(バンダイ, 1M) 3500円
1993-04-16 NBAオールスターチャレンジ2(アクレイムジャパン, 1M) 3900円
1993-04-16 魔界村外伝 THE DEMON DARKNESS(カプコン, 2M) 3500円
1993-04-23 ミッキーマウスIV 魔法のラビリンス(KEMCO, 1M) 3900円
1993-05-21 WWFスーパースターズ2(ホット・ビィ, 1M) 3980円
1993-05-21 妖精物語ロッドランド(ジャレコ, 512K) 3900円
1993-05-28 鈴木亜久里のF-1スーパードライビング(ロジーク, 2M) 3900円
1993-05-28 バブルボブルジュニア(タイトー, 1M) 3600円
1993-05-28 ポピュラス外伝(イマジニア, 1M) 4900円
1993-06-06 ゼルダの伝説 夢をみる島(任天堂, 4M) 3900円
1993-06-18 パチスロキッズ(ココナッツジャパン, 1M) 3980円
1993-06-25 スプリッツ 似顔絵15ゲーム(イマジニア, 512K) 3900円
1993-06-25 ブービーボーイズ(ニチブツ, 2M) 3800円
1993-07-09 エイリアン3(アクレイムジャパン, 1M) 3980円
1993-07-16 びっくり熱血新記録! どこでも金メダル(テクノスジャパン, 2M) 3800円
1993-07-16 マイケル・ジョーダン ONE ON ONE(エレクトロニック・アーツ・ビクター, 512K) 3900円
